Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1987655,1987655,0,,1998955,1998955,0,,3986610,3986610,0,765435264,765418560,99884,0,0,0,
1982125,1982125,0,,1994898,1994898,0,,3977023,3977023,0,763582272,763583424,109537,0,0,0,
1982440,1982440,0,,1992140,1992140,0,,3974580,3974580,0,763119360,763131840,111839,0,0,0,
1981664,1981664,0,,1994895,1994895,0,,3976559,3976559,0,763499328,763488576,110000,0,0,0,
1982932,1982932,0,,1995376,1995376,0,,3978308,3978308,0,763835136,763846656,108153,0,0,0,
1986297,1986297,0,,1999800,1999800,0,,3986097,3986097,0,765330624,765318912,100481,0,0,0,
1977351,1977351,0,,1990772,1990772,0,,3968123,3968123,0,761885760,761892672,118283,0,0,0,
1983332,1983332,0,,1995384,1995384,0,,3978716,3978716,0,763907328,763908096,107857,0,0,0,
1978560,1978560,0,,1988804,1988804,0,,3967364,3967364,0,761733888,761723328,119178,0,0,0,
1978244,1978244,0,,1992003,1992003,0,,3970247,3970247,0,762287424,762295296,116217,0,0,0,
1981820,1981820,0,,1995147,1995145,0,,3976967,3976965,0,763583424,763580928,109574,0,0,0,
1983428,1983428,0,,1993138,1993140,0,,3976566,3976568,0,763494912,763497216,109884,0,0,0,
1979932,1979932,0,,1990685,1990685,0,,3970617,3970617,0,762358464,762352128,115870,0,0,0,
1980248,1980248,0,,1993431,1993399,0,,3973679,3973647,0,762946368,762958080,112855,0,0,0,
1979787,1979787,0,,1994448,1994478,0,,3974235,3974265,0,763053120,763040064,111930,0,0,0,
1981557,1981557,0,,1993984,1993986,0,,3975541,3975543,0,763303872,763313856,110985,0,0,0,
1476508,1476508,0,,1483552,1483520,0,,2960060,2960028,0,568331520,568315392,74141,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1019129,1019129,0,,1024204,1024236,0,,2043333,2043365,0,392319936,392327616,73584,0,0,0,
1972755,1972755,0,,1987618,1987618,0,,3960373,3960373,0,760391616,760406592,189918,0,0,0,
1973117,1973117,0,,1988741,1988741,0,,3961858,3961858,0,760676736,760661760,188511,0,0,0,
1975742,1975742,0,,1991237,1991237,0,,3966979,3966979,0,761659968,761658624,183377,0,0,0,
1977742,1977742,0,,1991151,1991151,0,,3968893,3968893,0,762027456,762034944,181473,0,0,0,
1976463,1976463,0,,1992061,1992061,0,,3968524,3968524,0,761956608,761955072,181667,0,0,0,
1977588,1977588,0,,1992280,1992280,0,,3969868,3969868,0,762220800,762213888,180576,0,0,0,
1977321,1977321,0,,1990211,1990211,0,,3967532,3967532,0,761760000,761762112,182767,0,0,0,
1976222,1976222,0,,1989045,1989013,0,,3965267,3965235,0,761331264,761331456,185125,0,0,0,
1977977,1977977,0,,1993776,1993808,0,,3971753,3971785,0,762576576,762575808,178578,0,0,0,
1977420,1977420,0,,1991604,1991572,0,,3969024,3968992,0,762052608,762055872,181269,0,0,0,
1973764,1973764,0,,1987868,1987900,0,,3961632,3961664,0,760633344,760631232,188706,0,0,0,
1972935,1972935,0,,1987321,1987321,0,,3960256,3960256,0,760369152,760375488,190143,0,0,0,
1976457,1976457,0,,1989579,1989579,0,,3966036,3966036,0,761478912,761480448,184307,0,0,0,
1975900,1975900,0,,1988856,1988856,0,,3964756,3964756,0,761239296,761227200,185603,0,0,0,
1973898,1973898,0,,1986127,1986127,0,,3960025,3960025,0,760318656,760333440,190247,0,0,0,
1975014,1975014,0,,1988869,1988869,0,,3963883,3963883,0,761065536,761053824,186486,0,0,0,
1975754,1975754,0,,1987604,1987604,0,,3963358,3963358,0,760964736,760966080,187074,0,0,0,
1976758,1976758,0,,1990544,1990544,0,,3967302,3967302,0,761728128,761727552,182894,0,0,0,
1976188,1976188,0,,1990868,1990868,0,,3967056,3967056,0,761668608,761670144,183435,0,0,0,
1981242,1981242,0,,1994962,1994962,0,,3976204,3976204,0,763431168,763429248,173989,0,0,0,
