Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
3913599,3913599,0,,3945588,3945591,0,,3773499,3773512,0,,3756753,3756749,0,,3453305,3453292,0,,3749048,3749016,0,,22591792,22591759,0,4337622144,4337615616,2252,0,0,0,
3913182,3913182,0,,3942671,3942668,0,,3770184,3770168,0,,3766346,3766340,0,,3450343,3450343,0,,3749415,3749415,0,,22592141,22592116,0,4337686272,4337690304,1883,0,0,0,
3911973,3911973,0,,3946202,3946221,0,,3773753,3773757,0,,3759329,3759335,0,,3454307,3454307,0,,3746361,3746361,0,,22591925,22591954,0,4337658240,4337660928,1939,0,0,0,
3915965,3915965,0,,3942452,3942447,0,,3769229,3769241,0,,3764053,3764053,0,,3449094,3449094,0,,3751637,3751642,0,,22592430,22592442,0,4337749056,4337745408,1560,0,0,0,
3908976,3908976,0,,3946917,3946903,0,,3774693,3774678,0,,3761617,3761611,0,,3454934,3454934,0,,3744786,3744812,0,,22591923,22591914,0,4337639424,4337642304,1946,0,0,0,
3915969,3915969,0,,3942636,3942655,0,,3769197,3769196,0,,3762356,3762356,0,,3450275,3450275,0,,3752212,3752211,0,,22592645,22592662,0,4337790720,4337791680,1233,0,0,0,
3910236,3910236,0,,3946615,3946626,0,,3773957,3773957,0,,3763864,3763864,0,,3452414,3452414,0,,3745533,3745504,0,,22592619,22592601,0,4337779008,4337779200,1399,0,0,0,
3913549,3913549,0,,3943382,3943355,0,,3770536,3770536,0,,3759833,3759833,0,,3452561,3452561,0,,3752152,3752151,0,,22592013,22591985,0,4337667072,4337668992,1870,0,0,0,
3912670,3912670,0,,3946380,3946377,0,,3771747,3771748,0,,3764998,3764998,0,,3451726,3451758,0,,3744944,3744944,0,,22592465,22592495,0,4337759040,4337753856,1461,0,0,0,
3912335,3912335,0,,3944992,3944992,0,,3773330,3773330,0,,3757505,3757505,0,,3452853,3452853,0,,3750717,3750717,0,,22591732,22591732,0,4337606592,4337611776,2211,0,0,0,
3912763,3912763,0,,3943998,3943998,0,,3769560,3769562,0,,3768211,3768213,0,,3450470,3450439,0,,3747046,3747046,0,,22592048,22592021,0,4337674176,4337672448,1975,0,0,0,
