Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
12708016,12708016,0,,12471795,12471824,0,,25179811,25179840,0,4280567870,4834523904,790419,0,0,0,
12706225,12706225,0,,12474165,12474136,0,,25180390,25180361,0,4280666300,4834636032,789260,0,0,0,
12707355,12707355,0,,12473107,12473139,0,,25180462,25180494,0,4280683980,4834645824,787743,0,0,0,
12707003,12707003,0,,12474150,12474147,0,,25181153,25181150,0,4280795500,4834786176,788921,0,0,0,
12708935,12708935,0,,12471718,12471720,0,,25180653,25180655,0,4280711350,4834679808,788992,0,0,0,
12705233,12705233,0,,12473558,12473557,0,,25178791,25178790,0,4280389200,4834328640,790864,0,0,0,
12704518,12704518,0,,12471847,12471847,0,,25176365,25176365,0,4279987150,4833862656,792294,0,0,0,
12707884,12707884,0,,12469179,12469181,0,,25177063,25177065,0,4280101050,4834002432,792343,0,0,0,
12710048,12710048,0,,12475189,12475188,0,,25185237,25185236,0,4281484850,4835561664,784545,0,0,0,
12707412,12707412,0,,12474624,12474593,0,,25182036,25182005,0,4280946120,4834946880,787919,0,0,0,
12707324,12707324,0,,12474167,12474199,0,,25181491,25181523,0,4280853470,4834847232,788020,0,0,0,
12706604,12706604,0,,12479122,12479119,0,,25185726,25185723,0,4281573420,4835658240,781947,0,0,0,
12705827,12705827,0,,12476282,12476285,0,,25182109,25182112,0,4280963970,4834972992,787784,0,0,0,
12709075,12709075,0,,12478002,12478002,0,,25187077,25187077,0,4281797650,4835912064,782853,0,0,0,
12703802,12703802,0,,12476832,12476832,0,,25180634,25180634,0,4280707780,4834687104,788736,0,0,0,
4896142,4896142,0,,4811531,4811499,0,,9707673,9707641,0,1650304410,1863860928,306290,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
11037245,11037245,0,,10822030,10822062,0,,21859275,21859307,0,3716076750,4196986944,920037,0,0,0,
12705976,12705976,0,,12468893,12468893,0,,25174869,25174869,0,4279727730,4833577152,1079790,0,0,0,
12711953,12711953,0,,12471062,12471062,0,,25183015,25183015,0,4281112550,4835136576,1071528,0,0,0,
12709596,12709596,0,,12469954,12469952,0,,25179550,25179548,0,4280523500,4834476672,1075764,0,0,0,
12712543,12712543,0,,12467555,12467554,0,,25180098,25180097,0,4280616660,4834575360,1074729,0,0,0,
12712773,12712773,0,,12469504,12469507,0,,25182277,25182280,0,4280987090,4835000064,1072963,0,0,0,
12711530,12711530,0,,12463959,12463956,0,,25175489,25175486,0,4279833130,4833690816,1079774,0,0,0,
12710569,12710569,0,,12464764,12464767,0,,25175333,25175336,0,4279806610,4833666816,1080332,0,0,0,
12711841,12711841,0,,12468642,12468642,0,,25180483,25180483,0,4280687550,4834656192,1074864,0,0,0,
12712586,12712586,0,,12468119,12468087,0,,25180705,25180673,0,4280714410,4834695744,1074333,0,0,0,
12712170,12712170,0,,12470090,12470121,0,,25182260,25182291,0,4280984200,4834987584,1072212,0,0,0,
12707054,12707054,0,,12470529,12470498,0,,25177583,25177552,0,4280189110,4834095552,1075482,0,0,0,
12709110,12709110,0,,12467052,12467084,0,,25176162,25176194,0,4279947540,4833823680,1078029,0,0,0,
12710185,12710185,0,,12471950,12471948,0,,25182135,25182133,0,4280962950,4834969536,1071400,0,0,0,
12711023,12711023,0,,12460967,12460966,0,,25171990,25171989,0,4279243230,4833028032,1082976,0,0,0,
12709367,12709367,0,,12466732,12466732,0,,25176099,25176099,0,4279931900,4833804864,1077926,0,0,0,
12706088,12706088,0,,12467703,12467704,0,,25173791,25173792,0,4279549570,4833371520,1081475,0,0,0,
12706511,12706511,0,,12466298,12466300,0,,25172809,25172811,0,4279377870,4833182208,1082174,0,0,0,
12708897,12708897,0,,12465412,12465412,0,,25174309,25174309,0,4279632530,4833467520,1080680,0,0,0,
12707515,12707515,0,,12466149,12466149,0,,25173664,25173664,0,4279522880,4833338880,1080920,0,0,0,
12709551,12709551,0,,12464490,12464487,0,,25174041,25174038,0,4279586460,4833413760,1081209,0,0,0,
12713495,12713495,0,,12468842,12468842,0,,25182337,25182337,0,4280997290,4835015040,1072777,0,0,0,
12711458,12711458,0,,12462900,12462902,0,,25174358,25174360,0,4279635930,4833470976,1080605,0,0,0,
9906733,9906733,0,,9716004,9715973,0,,19622737,19622706,0,3335865290,3767559360,840780,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
5939525,5939525,0,,5827765,5827797,0,,11767290,11767322,0,2000444740,2259331200,483478,0,0,0,
12710977,12710977,0,,12466230,12466198,0,,25177207,25177175,0,4280119750,4834026432,1077663,0,0,0,
12709955,12709955,0,,12465857,12465889,0,,25175812,25175844,0,4279888040,4833749184,1079246,0,0,0,
12710856,12710856,0,,12463663,12463660,0,,25174519,25174516,0,4279668230,4833505728,1080714,0,0,0,
12706748,12706748,0,,12471354,12471325,0,,25178102,25178073,0,4280277340,4834201152,1076421,0,0,0,
12711628,12711628,0,,12470335,12470367,0,,25181963,25181995,0,4280933710,4834932096,1072965,0,0,0,
12711559,12711559,0,,12467290,12467290,0,,25178849,25178849,0,4280409770,4834344768,1076802,0,0,0,
12710342,12710342,0,,12464285,12464285,0,,25174627,25174627,0,4279686590,4833526848,1080333,0,0,0,
12709591,12709591,0,,12468336,12468336,0,,25177927,25177927,0,4280247590,4834163712,1076093,0,0,0,
12712903,12712903,0,,12464074,12464042,0,,25176977,25176945,0,4280080650,4833973056,1077697,0,0,0,
12706802,12706802,0,,12464497,12464497,0,,25171299,25171299,0,4279120830,4832889600,1084024,0,0,0,
12710237,12710237,0,,12463389,12463389,0,,25173626,25173626,0,4279516420,4833337152,1081331,0,0,0,
12707885,12707885,0,,12464651,12464682,0,,25172536,25172567,0,4279336390,4833132480,1083027,0,0,0,
12710263,12710263,0,,12468223,12468221,0,,25178486,25178484,0,4280337350,4834262400,1076623,0,0,0,
12711644,12711644,0,,12463314,12463316,0,,25174958,25174960,0,4279748130,4833592896,1080462,0,0,0,
12709586,12709586,0,,12469391,12469389,0,,25178977,25178975,0,4280425750,4834364928,1076128,0,0,0,
