Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
847412,847412,0,,3004113,3004112,0,,712307,712311,0,,2349090,2349102,0,,14740708,14740738,0,,965240,965251,0,,22618870,22618926,0,4342836672,4342838592,1760246,0,0,0,
847616,847616,0,,3004655,3004655,0,,712383,712381,0,,2349374,2349371,0,,14727036,14727006,0,,965387,965376,0,,22606451,22606405,0,4340427072,4340434176,1774772,0,0,0,
847538,847538,0,,3004352,3004354,0,,712275,712273,0,,2349076,2349067,0,,14728594,14728594,0,,965237,965237,0,,22607072,22607063,0,4340569344,4340553984,1772707,0,0,0,
847565,847565,0,,3004305,3004303,0,,712278,712278,0,,2348985,2348985,0,,14729297,14729329,0,,965272,965272,0,,22607702,22607732,0,4340671680,4340678592,1772680,0,0,0,
847630,847630,0,,3004540,3004540,0,,712385,712385,0,,2349344,2349345,0,,14728219,14728219,0,,965392,965392,0,,22607510,22607511,0,4340642496,4340644032,1773623,0,0,0,
847654,847654,0,,3004414,3004414,0,,712373,712373,0,,2349217,2349216,0,,14727694,14727694,0,,965386,965386,0,,22606738,22606737,0,4340486208,4340484096,1773563,0,0,0,
847636,847636,0,,3004524,3004524,0,,712374,712374,0,,2349337,2349337,0,,14736159,14736159,0,,965397,965397,0,,22615427,22615427,0,4342168512,4342178688,1765629,0,0,0,
847436,847436,0,,3004174,3004174,0,,712334,712335,0,,2349185,2349185,0,,14737105,14737073,0,,965313,965313,0,,22615547,22615516,0,4342178688,4342174464,1764655,0,0,0,
847616,847616,0,,3004643,3004643,0,,712368,712367,0,,2349376,2349376,0,,14724154,14724154,0,,965352,965352,0,,22603509,22603508,0,4339874496,4339868736,1777818,0,0,0,
847548,847548,0,,3004507,3004509,0,,712342,712342,0,,2349182,2349182,0,,14734453,14734453,0,,965263,965264,0,,22613295,22613298,0,4341755136,4341754944,1766514,0,0,0,
847566,847566,0,,3004267,3004265,0,,712242,712243,0,,2348916,2348926,0,,14731957,14731989,0,,965256,965255,0,,22610204,22610244,0,4341166464,4341171072,1770025,0,0,0,
847623,847623,0,,3004467,3004467,0,,712349,712349,0,,2349224,2349217,0,,14735716,14735716,0,,965358,965359,0,,22614737,22614731,0,4342029888,4342025088,1766037,0,0,0,
847633,847633,0,,3004590,3004590,0,,712385,712384,0,,2349370,2349367,0,,14730153,14730153,0,,965399,965398,0,,22609530,22609525,0,4341025920,4341026496,1771726,0,0,0,
