Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
445206,445206,0,,385064,385062,0,,447011,447011,0,,425545,425545,0,,437364,437367,0,,2140190,2140191,0,410916480,410913984,659329,0,0,0,
445426,445426,0,,384633,384636,0,,447366,447363,0,,424569,424569,0,,437793,437793,0,,2139787,2139787,0,410845248,410845248,659708,0,0,0,
445109,445109,0,,385334,385334,0,,447862,447864,0,,425436,425436,0,,437518,437516,0,,2141259,2141259,0,411115584,411118848,658208,0,0,0,
445119,445119,0,,384877,384877,0,,447313,447314,0,,425620,425618,0,,438152,438152,0,,2141081,2141080,0,411087552,411083520,658315,0,0,0,
445256,445256,0,,385186,385186,0,,446558,446557,0,,424915,424915,0,,437426,437428,0,,2139341,2139342,0,410753472,410754816,660097,0,0,0,
445926,445926,0,,385627,385624,0,,446177,446175,0,,425252,425254,0,,438461,438460,0,,2141443,2141439,0,411157056,411154368,658108,0,0,0,
445706,445706,0,,385644,385644,0,,446941,446942,0,,425208,425208,0,,438770,438771,0,,2142269,2142271,0,411315648,411317952,656921,0,0,0,
445743,445743,0,,384854,384856,0,,447273,447272,0,,425508,425508,0,,437725,437725,0,,2141103,2141104,0,411091776,411090624,658416,0,0,0,
446148,446148,0,,385088,385088,0,,447606,447609,0,,425059,425059,0,,437861,437861,0,,2141762,2141765,0,411218304,411221952,657709,0,0,0,
444679,444679,0,,384263,384263,0,,447317,447317,0,,425662,425662,0,,437182,437182,0,,2139103,2139103,0,410707776,410706624,660328,0,0,0,
445134,445134,0,,384504,384503,0,,447594,447594,0,,425205,425202,0,,437486,437485,0,,2139923,2139918,0,410865216,410861376,659703,0,0,0,
445231,445231,0,,384547,384549,0,,446602,446602,0,,424921,424924,0,,437281,437279,0,,2138582,2138585,0,410607744,410613312,660629,0,0,0,
445496,445496,0,,384083,384083,0,,446907,446907,0,,425879,425879,0,,438188,438189,0,,2140553,2140554,0,410992320,410990208,658780,0,0,0,
445866,445866,0,,385028,385028,0,,446785,446785,0,,425741,425738,0,,438140,438140,0,,2141560,2141557,0,411173376,411171840,657802,0,0,0,
445631,445631,0,,384544,384544,0,,447663,447661,0,,425392,425395,0,,437907,437909,0,,2141137,2141140,0,411098304,411102720,658471,0,0,0,
445753,445753,0,,385127,385127,0,,447186,447186,0,,425742,425739,0,,437811,437811,0,,2141619,2141616,0,411190848,411187392,657753,0,0,0,
445369,445369,0,,385351,385348,0,,446965,446966,0,,425100,425103,0,,437792,437791,0,,2140577,2140577,0,410996736,410995200,658835,0,0,0,
446272,446272,0,,385939,385940,0,,447344,447345,0,,425222,425222,0,,438067,438068,0,,2142844,2142847,0,411420096,411422592,656548,0,0,0,
445952,445952,0,,384805,384807,0,,447628,447628,0,,425842,425840,0,,438084,438084,0,,2142311,2142311,0,411323712,411320832,657213,0,0,0,
445383,445383,0,,385621,385621,0,,447161,447158,0,,425338,425340,0,,437457,437457,0,,2140960,2140959,0,411064320,411065088,658619,0,0,0,
446106,446106,0,,385605,385573,0,,447482,447485,0,,425240,425240,0,,438346,438345,0,,2142779,2142749,0,411413568,411416640,656671,0,0,0,
341680,341680,0,,296649,296649,0,,342595,342563,0,,326344,326312,0,,335898,335867,0,,1643166,1643071,0,315487872,315459456,492843,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
231238,231238,0,,199496,199528,0,,231524,231554,0,,220378,220409,0,,226725,226757,0,,1109361,1109486,0,212997312,213027072,59624,0,0,0,
444801,444801,0,,384944,384944,0,,446557,446559,0,,424599,424600,0,,437455,437455,0,,2138356,2138359,0,410564352,410569152,194213,0,0,0,
445244,445244,0,,384499,384499,0,,447029,447028,0,,424915,424912,0,,437654,437652,0,,2139341,2139335,0,410753472,410745408,193211,0,0,0,
444912,444912,0,,385598,385596,0,,446687,446688,0,,424682,424685,0,,437315,437314,0,,2139194,2139195,0,410725248,410722560,193209,0,0,0,
445128,445128,0,,384226,384226,0,,446986,446986,0,,425365,425363,0,,437551,437554,0,,2139256,2139257,0,410737152,410738112,193248,0,0,0,
445554,445554,0,,384802,384804,0,,446532,446529,0,,424999,424999,0,,437425,437422,0,,2139312,2139308,0,410747904,410747136,193145,0,0,0,
446100,446100,0,,385823,385823,0,,447238,447239,0,,425373,425375,0,,438403,438406,0,,2142937,2142943,0,411443904,411447168,189579,0,0,0,
446167,446167,0,,384703,384701,0,,446380,446382,0,,425883,425882,0,,438320,438320,0,,2141453,2141452,0,411158976,411159168,190936,0,0,0,
