Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
9391531,9391531,0,,9391518,9391525,0,,9388821,9388828,0,,9386149,9386155,0,,9388850,9388860,0,,9388813,9388843,0,,56335682,56335742,0,7774321770,10816451520,0,0,0,0,
9389876,9389876,0,,9389887,9389857,0,,9387183,9387181,0,,9384485,9384486,0,,9387164,9387162,0,,9387202,9387172,0,,56325797,56325734,0,7772946876,10814544576,0,0,0,0,
9408831,9408831,0,,9408820,9408849,0,,9406140,9406141,0,,9403434,9403431,0,,9406131,9406131,0,,9406121,9406145,0,,56439477,56439528,0,7788659280,10836389184,0,0,0,0,
9414413,9414413,0,,9414416,9414416,0,,9411674,9411678,0,,9409003,9409003,0,,9411745,9411716,0,,9411703,9411711,0,,56472954,56472937,0,7793260890,10842799488,0,0,0,0,
4167508,4167508,0,,4167509,4167480,0,,4166354,4166322,0,,4165125,4165096,0,,4166288,4166288,0,,4166320,4166288,0,,24999104,24998982,0,3449863932,4799786112,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
7487449,7487449,0,,7487453,7487482,0,,7485307,7485336,0,,7483159,7483189,0,,7485304,7485336,0,,7485318,7485348,0,,44913990,44914140,0,6198147180,8623529280,0,0,0,0,
9387980,9387980,0,,9387972,9387972,0,,9385295,9385296,0,,9382605,9382605,0,,9385289,9385280,0,,9385298,9385268,0,,56314439,56314401,0,7771383198,10812367104,0,0,0,0,
9389217,9389217,0,,9389202,9389205,0,,9386500,9386502,0,,9383827,9383797,0,,9386534,9386538,0,,9386510,9386525,0,,56321790,56321784,0,7772414472,10813790784,0,0,0,0,
9389359,9389359,0,,9389398,9389366,0,,9386672,9386671,0,,9383967,9383985,0,,9386662,9386654,0,,9386679,9386664,0,,56322737,56322699,0,7772537982,10813958592,0,0,0,0,
9381313,9381313,0,,9381294,9381310,0,,9378635,9378622,0,,9375926,9375938,0,,9378627,9378608,0,,9378601,9378616,0,,56274396,56274407,0,7765858506,10804677312,0,0,0,0,
9388225,9388225,0,,9388200,9388216,0,,9385526,9385539,0,,9382847,9382849,0,,9385540,9385540,0,,9385515,9385530,0,,56315853,56315899,0,7771593786,10812654720,0,0,0,0,
9386055,9386055,0,,9386084,9386082,0,,9383361,9383358,0,,9380651,9380649,0,,9383364,9383364,0,,9383372,9383371,0,,56302887,56302879,0,7769801718,10810156608,0,0,0,0,
